adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/fqv8v6AycXKsivp1T5yKtLbGXce.jpg,"[878, 12, 28]",653346,en,Kingdom of the Planet of the Apes,"Several generations in the future following Caesar's reign, apes are now the dominant species and live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all that he has known about the past and to make choices that will define a future for apes and humans alike.",6097.733,/gKkl37BQuKTanygYQG1pyYgLVgf.jpg,2024-05-08,Kingdom of the Planet of the Apes,False,6.9,781
False,/z121dSTR7PY9KxKuvwiIFSYW8cf.jpg,"[10752, 28, 18]",929590,en,Civil War,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",3038.92,/sh7Rg8Er3tFcN9BpKIPOMvALgZd.jpg,2024-04-10,Civil War,False,7.099,1236
False,/otfoeC96neoOdA4HqsX06OWuzE9.jpg,"[27, 53]",719221,en,Tarot,"When a group of friends recklessly violate the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",2131.33,/gAEUXC37vl1SnM7PXsHTF23I2vq.jpg,2024-05-01,Tarot,False,6.467,307
False,/xRd1eJIDe7JHO5u4gtEYwGn5wtf.jpg,"[878, 28, 12]",823464,en,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",2176.392,/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg,2024-03-27,Godzilla x Kong: The New Empire,False,7.239,2468
False,/3TNSoa0UHGEzEz5ndXGjJVKo8RJ.jpg,"[878, 28]",614933,en,Atlas,A brilliant counterterrorism analyst with a deep distrust of AI discovers it might be her only hope when a mission to capture a renegade robot goes awry.,1821.917,/bcM2Tl5HlsvPBnL8DKP9Ie6vU4r.jpg,2024-05-23,Atlas,False,6.742,558
False,/tkHQ7tnYYUEnqlrKuhufIsSVToU.jpg,[27],437342,en,The First Omen,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",1127.216,/uGyiewQnDHPuiHN9V4k2t9QBPnh.jpg,2024-04-03,The First Omen,False,6.825,357
False,/H5HjE7Xb9N09rbWn1zBfxgI8uz.jpg,"[28, 35, 80, 9648, 10749]",746036,en,The Fall Guy,"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",1217.797,/tSz1qsmSJon0rqjHBxXZmrotuse.jpg,2024-04-24,The Fall Guy,False,7.295,990
False,/fY3lD0jM5AoHJMunjGWqJ0hRteI.jpg,"[878, 27, 28]",940721,ja,ゴジラ-1.0,"In postwar Japan, Godzilla brings new devastation to an already scorched landscape. With no military intervention or government help in sight, the survivors must join together in the face of despair and fight back against an unrelenting horror.",1209.099,/hkxxMIGaiCTmrEArK7J56JTKUlB.jpg,2023-11-03,Godzilla Minus One,False,7.674,1425
False,/shrwC6U8Bkst9T9J7fr1A50n6x6.jpg,"[28, 12, 878]",786892,en,Furiosa: A Mad Max Saga,"As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home.",1055.646,/iADOJ8Zymht2JPMoy3R7xceZprc.jpg,2024-05-22,Furiosa: A Mad Max Saga,False,7.724,671
False,/1m1rXopfNDVL3UMiv6kriYaJ3yE.jpg,"[28, 53, 80, 878]",882059,en,Boy Kills World,"When his family is murdered, a deaf-mute named Boy escapes to the jungle and is trained by a mysterious shaman to repress his childish imagination and become an instrument of death.",891.24,/25JskXmchcYwj3jHRmcPm738MpB.jpg,2024-04-24,Boy Kills World,False,6.914,215
False,/xOMo8BRK7PfcJv9JCnx7s5hj0PX.jpg,"[878, 12]",693134,en,Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",897.168,/czembW0Rk1Ke7lCJGahbOhdCuhV.jpg,2024-02-27,Dune: Part Two,False,8.168,4322
False,/kYgQzzjNis5jJalYtIHgrom0gOx.jpg,"[16, 28, 10751, 35, 14]",1011985,en,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",759.173,/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg,2024-03-02,Kung Fu Panda 4,False,7.118,1878
False,/iafs5DG5fGq7ef0acl3xlX4BFrs.jpg,"[18, 10770]",1219685,fr,Un père idéal,,685.195,/4xJd3uwtL1vCuZgEfEc8JXI9Uyx.jpg,2024-04-21,Un père idéal,False,5.695,41
False,/qjoX7hl721FOiyeHsDkeQ6rFVLl.jpg,"[16, 10751, 18, 12, 35]",1022789,en,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",748.373,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,2024-06-12,Inside Out 2,False,0.0,0
False,/vWzJDjLPmycnQ42IppEjMpIhrhc.jpg,"[16, 35, 10751, 12]",748783,en,The Garfield Movie,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",590.776,/p6AbOJvMQhBmffd0PIv0u8ghWeY.jpg,2024-04-30,The Garfield Movie,False,6.556,135
False,/42rp8MkwOEFA62wwgKcuOpP8Fjb.jpg,"[28, 36, 18, 10752]",660360,ko,노량: 죽음의 바다,"In the winter of 1598, the seven-year Imjin War nears an end as the Japanese Wae invaders prepare to withdraw from Joseon. Admiral Yi Sun-shin leads an allied fleet of Joseon and Ming ships to annihilate the Wae army. Joseon, Ming, and Wae forces clash at Noryang Strait, the deadly sea where Admiral Yi fights his last valiant battle.",528.237,/wFAe7gA513Pi2meI4ECwf6YEKR1.jpg,2023-12-20,Noryang: Deadly Sea,False,7.155,42
False,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,"[28, 80, 53]",385687,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",641.421,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,2023-05-17,Fast X,False,7.121,5229
False,/qwK9soQmmJ7kRdjLZVXblw3g7AQ.jpg,"[28, 12, 53, 80]",7451,en,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",608.16,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,2002-08-09,xXx,False,5.934,4079
False,/s9hW1DHfgy5ppK1fTUJuMKh4YFK.jpg,"[28, 53]",980083,en,Top Gunner: Danger Zone,"An airliner filled with 800 passengers is forced to fly fast and low, above farmlands, suburbs and skyscraper-packed cities or the tons of explosives aboard will detonate. When an elite unit of US Air Force fighter jets is sent to provide escort, they find themselves facing a squadron of unidentifiable warplanes which ignites a deadly air battle that threatens to destroy all life above and below.",760.265,/29UCk1nvPzn2XubLk5rKDMlHBRu.jpg,2022-05-20,Top Gunner: Danger Zone,False,4.0,13
False,/5Eip60UDiPLASyKjmHPMruggTc4.jpg,"[27, 9648, 53]",1041613,en,Immaculate,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.",554.738,/fdZpvODTX5wwkD0ikZNaClE4AoW.jpg,2024-03-20,Immaculate,False,6.3,550
False,/nb3xI8XI3w4pMVZ38VijbsyBqP4.jpg,"[18, 36]",872585,en,Oppenheimer,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,625.191,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,2023-07-19,Oppenheimer,False,8.098,8231
False,/2KGxQFV9Wp1MshPBf8BuqWUgVAz.jpg,"[16, 28, 12, 35, 10751]",940551,en,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",447.002,/ldfCF9RhR40mppkzmftxapaHeTo.jpg,2023-12-06,Migration,False,7.442,1404
False,/JtN7Q03S3oq7A4KZ7Z3I7m3osP.jpg,"[80, 28, 53]",573435,en,Bad Boys: Ride or Die,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",532.584,/nP6RliHjxsz4irTKsxe8FRhKZYl.jpg,2024-06-05,Bad Boys: Ride or Die,False,8.2,9
False,/4woSOUD0equAYzvwhWBHIJDCM88.jpg,"[28, 27, 53]",1096197,en,No Way Up,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,435.443,/hu40Uxp9WtpL34jv3zyWLb5zEVY.jpg,2024-01-18,No Way Up,False,6.447,705
False,/hvqNAz3cq48sh9GKxu4lPiogfBo.jpg,"[28, 80, 9648, 53]",996154,en,Black Lotus,An ex-special forces operative wages a one man war through the streets of Amsterdam to rescue his friend's daughter from the local crime syndicate.,467.46,/y3AeW200hqGLxoPyHMDHpzudylz.jpg,2023-04-12,Black Lotus,False,6.5,110
False,/rmNlWyez5cniGtXkgixG1ezdqVk.jpg,"[28, 53]",1093995,en,Chief of Station,"After learning that the death of his wife was not an accident, a former CIA Station Chief is forced back into the espionage underworld, teaming up with an adversary to unravel a conspiracy that challenges everything he thought he knew.",427.099,/uuA01PTtPombRPvL9dvsBqOBJWm.jpg,2024-05-02,Chief of Station,False,5.39,41
False,/jnE1GA7cGEfv5DJBoU2t4bZHaP4.jpg,"[28, 878]",1094844,en,Ape vs Mecha Ape,"Recognizing the destructive power of its captive giant Ape, the military makes its own battle-ready A.I., Mecha Ape. But its first practical test goes horribly wrong, leaving the military no choice but to release the imprisoned giant ape to stop the colossal robot before it destroys downtown Chicago.",411.118,/dJaIw8OgACelojyV6YuVsOhtTLO.jpg,2023-03-24,Ape vs Mecha Ape,False,5.674,219
